UID          PID    PPID  C STIME TTY          TIME CMD
devasc      1850    1437  0 21:07 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
devasc      1857    1456  0 21:07 ?        00:00:00 marco
devasc      1873    1456  0 21:07 ?        00:00:00 mate-panel
devasc      1882    1456  0 21:07 ?        00:00:01 /usr/bin/caja
devasc      1883    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
devasc      1888    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
devasc      1892    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
devasc      1896    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
devasc      1900    1437  0 21:07 ?        00:00:01 mate-menu
devasc      1902    1437  0 21:07 ?        00:00:03 /usr/lib/mate-applets/mate-multiload-applet
devasc      1903    1437  0 21:07 ?        00:00:00 /usr/lib/mate-panel/wnck-applet
devasc      1915    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
devasc      1916    1456  0 21:07 ?        00:00:00 mate-power-manager
devasc      1923    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
devasc      1932    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
devasc      1944    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/polkit-mate/polkit-mate-authentication-agent-1
devasc      1952    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
devasc      1996    1456  0 21:07 ?        00:00:00 mate-maximus
devasc      2000    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
devasc      2009    1456  0 21:07 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
devasc      2010    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
devasc      2015    1456  0 21:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
devasc      2030    1456  0 21:07 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
root        2048       1  0 21:07 ?        00:00:00 /usr/lib/upower/upowerd
devasc      2090    1437  0 21:07 ?        00:00:00 /usr/libexec/evolution-source-registry
devasc      2103    1801  0 21:07 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
devasc      2110    1437  0 21:07 ?        00:00:00 /usr/libexec/evolution-calendar-factory
devasc      2132    1437  0 21:07 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
devasc      2172    1437  0 21:07 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2191       2  0 21:08 ?        00:00:00 [kworker/0:4-events]
devasc      2228    1882  0 21:12 ?        00:00:00 mate-terminal
devasc      2236    2228  0 21:12 pts/0    00:00:00 bash
devasc      2256    2236  0 21:19 pts/0    00:00:00 ps -ef
